package_name,review,date,star
com.mantz_it.rfanalyzer,Great app! The new version now works on my Bravia Android TV which is great as it's right by my rooftop aerial cable. The scan feature would be useful...any ETA on when this will be available? Also the option to import a list of bookmarks e.g. from a simple properties file would be useful.,October 12 2016,4
com.mantz_it.rfanalyzer,Great It's not fully optimised and has some issues with crashing but still a nice app  especially considering the price and it's open source.,August 23 2016,4
com.mantz_it.rfanalyzer,Works on a Nexus 6p I'm still messing around with my hackrf but it works with my Nexus 6p  Trond usb-c to usb host adapter. Thanks!,August 04 2016,5
com.mantz_it.rfanalyzer,The bandwidth seemed to be limited to maximum 2 MHz or so. I tried to increase the bandwidth but not possible. I purchased this is because one of the pictures in the advertisement showed the 2.4GHz band with around 10MHz or more bandwidth. Is it not possible to increase the bandwidth? If not  it is just the same performance as other free APPs.,July 25 2016,3
com.mantz_it.rfanalyzer,Works well with my Hackrf Hopefully new updates will arrive for extra functions,July 22 2016,5
com.mantz_it.rfanalyzer,Good job Tried a few . This has to be the most stable and best to my liking . And a whole world of settings to play with. However we are quite limited on frequency band width id like to see it lowered to 14.mhz if possible,July 19 2016,5
com.mantz_it.rfanalyzer,Working great on Nexus6,July 05 2016,5
com.mantz_it.rfanalyzer,Works with RTL and Nextbook Aries 8. Demod stops working if the scan width is changed requiring restart.,May 19 2016,5
com.mantz_it.rfanalyzer,Works with RTL SDR Works but no audio when demodulating,April 24 2016,3
com.mantz_it.rfanalyzer,Awsome App! Easy to use  works great on Notes w / Realtek dongle.,April 16 2016,5
com.mantz_it.rfanalyzer,I'll forgo the refund. But no go with Watson dongle... Nexus 9. Yet to try on Nexus 6p. So very disappointed!!! :-(,March 31 2016,1
com.mantz_it.rfanalyzer,looks like a great program  1 of its kind I don't have the necessary hardware to utilize it though.,March 30 2016,4
com.mantz_it.rfanalyzer,This thing is great. I am at the bottom of the learning curve but in the few minutes I have played with it it seems like it will be easy to learn and to use. Just what I hoped for.,February 27 2016,5
com.mantz_it.rfanalyzer,Crash when set a demodulation! :(,February 22 2016,2
com.mantz_it.rfanalyzer,Good Good,February 22 2016,5
com.mantz_it.rfanalyzer,Support for sdrplay This software works fine on rtl sdr upconverter.But doesn't support sdrplay.Hope you add this support in near future.,February 20 2016,4
com.mantz_it.rfanalyzer,Nice Tested with Rtl SDR. Working fine although I saw weird behavior around 2.4Ghz. Not sure if this is the app. What is badly missing is some kind of bookmarks/favourites feature.,February 20 2016,4
com.mantz_it.rfanalyzer,doesn't work with rtl-2832 Says it works with rtl devices but doesn't. never displays anything  even though the rtl 2832 works with other spectrum analyzers. no help files anywhere so good luck figuring out what's wrong!,February 10 2016,1
com.mantz_it.rfanalyzer,Sweet Pick your source device in settings. Default is hackrf. May need driver as well,February 01 2016,5
com.mantz_it.rfanalyzer,Great app! Works really well with Galaxy note 5,February 01 2016,5
com.mantz_it.rfanalyzer,The app looks good but does not work so far with lenovo a936 kitkat. the sdr might draw to much current. Tried a spit cable for extra power but it did not help so far.,January 31 2016,4
com.mantz_it.rfanalyzer,Works great I am using HackRF One with this apps.,January 29 2016,5
com.mantz_it.rfanalyzer,A God send! Awful interference problem with my 868MHz central heating system. 20min with this app and an rtlsdr dongle tracked the problem to an old controller with a near flat battery transmitting a continuous unmodulated carrier.,January 09 2016,5
com.mantz_it.rfanalyzer,App Great but This app is great but the only thing that's missing is its ability to store frequencies and presets like the competing app.,December 13 2015,4
com.mantz_it.rfanalyzer,awesome app  seems stable and runs well on Note 4 with RLT-SDR  can't wait to try it out on the HackRF One. Happy to support the developer!,November 24 2015,5
com.mantz_it.rfanalyzer,Simple and perfect About this software rtl sdr is very useful ... installed done. Thanks.,November 08 2015,5
com.mantz_it.rfanalyzer,Samsung note 3 neo ok,October 15 2015,5
com.mantz_it.rfanalyzer,This works great so far. Any plans for support of Q branch direct sampling for HF reception on RTL SDR? Maybe the option is there and I missed it. Great app  keep up the great work.,October 12 2015,5
com.mantz_it.rfanalyzer,Nice Work Wish it could transmit too on Hack,October 04 2015,5
com.mantz_it.rfanalyzer,Great application Work's well with my ZenFone 5,October 03 2015,5
com.mantz_it.rfanalyzer,Very nice. Great UI  works like a charm. If you have an NVIDIA shield  try spamming the connect/play button.,September 25 2015,5
com.mantz_it.rfanalyzer,Additional info Used it w/RTL-SDR (R820T) on my phone (Moto G) also and it works great there too. I already had FM on this phone and now have NWS  taxis  Aviation  Marine  etc. Hopefully scanner update soon. Love it! Have it also on my new Chuwi HI8 dual-mode tablet so you can add that to the list ,September 25 2015,5
com.mantz_it.rfanalyzer,Fun app - A little tedious though I enjoy using this app but can be a bit tedious trying to get everything set and configured just right. Once your SDR dongle has been properly configured you can then enjoy using it. Nice little app :&gt;),September 24 2015,4
com.mantz_it.rfanalyzer,"Works Great. Works great on a 2015 Medion Lifetab S10346 (MD99282). 10.1"""""""""""""""""""""""""""""""". Android 5. Watson wideband 100Khz-2Ghz model W-SDRX1 rtl dongle based receiver. Mostly Amatuer Band and Airband use. HF and VHF-UHF receive is fine if you cn feed it from any half decent antenna farm  even works ok with indoor antenna systems with a bit more interference. It is possible to power the receiver from the tablet with the supplied usb otg cable but a otg cable with power in capablity is highly recommended. Great app  works as good as any windows  linux or mac sdr apps that I own. Fine Business to the developer. Wish that I could rate your app with more than 5 stars  makes it possible for me to go portable or mobile with the sdr without having to carry a laptop everywhere.""""",September 03 2015,5
com.mantz_it.rfanalyzer,Good Works well on Oneplus One  with and without a powered otg cable,August 23 2015,5
com.mantz_it.rfanalyzer,Works great with rtl Sdr and HTC one x Thanks very much.,August 18 2015,5
com.mantz_it.rfanalyzer,Amazing A very useful app. I originally downloaded the free version from github  but decided to buy it here as the dev deserves the money.,August 10 2015,5
com.mantz_it.rfanalyzer,Works well but would like added features The main additional feature I would like is a way to be able to adjust the spec an amplitude reference so that I can calibrate it to dBm.,August 05 2015,4
com.mantz_it.rfanalyzer,Do I need to hack my phone for this application to work,August 01 2015,1
com.mantz_it.rfanalyzer,Works on Motorola Droid Mini. Very cool app. I would like to try and DF power line noise using this app coupled with the RTL-SDR dongle. nice job on the app!,July 16 2015,5
com.mantz_it.rfanalyzer,The most fun you can have with a dongle ;-) Works perfectly with my Oneplus One and a generic RTL-SDR dongle. Well worth paying a few pence for to support the author.,June 18 2015,5
com.mantz_it.rfanalyzer,Does not work Did not work with my rtl-sdr,May 23 2015,1
com.mantz_it.rfanalyzer,Works ok Please improve tuning... Add possibility to tune like PC SDR software by flipping digit up/down. Currently it's too many taps to fine-tune,May 23 2015,4
com.mantz_it.rfanalyzer,Great app! Works flawlessly on my Samsung galaxy S5.,April 27 2015,5
com.mantz_it.rfanalyzer,Works great. Thanks!,April 25 2015,5
com.mantz_it.rfanalyzer,Great app Works well,April 21 2015,5
com.mantz_it.rfanalyzer,Working great with RTL Great job! This is working great with my RTL SDR. Well worth the money! Keep up the great work dev!,April 17 2015,5
com.mantz_it.rfanalyzer,Cool App Works great on my Galaxy Note 4 and Galaxy Tab Pro with my HackRF One. I've not yet tested with my RTL-SDR..,April 17 2015,5
com.mantz_it.rfanalyzer,How do I change sample on the app rate I am using a remote server,April 08 2015,3
com.mantz_it.rfanalyzer,Works on Nexus 9 Perfectly works on Nexus 9 with RTL-SDR!,April 02 2015,5
com.mantz_it.rfanalyzer,Great App - Snags with Kitkat Worked fine on Jellybean but started throwing snags after upgrade. Will try logging and send it to the Author...,March 30 2015,4
com.mantz_it.rfanalyzer,Awesome and epic This application is awesome. This worked with my USB dongle.,March 29 2015,5
com.mantz_it.rfanalyzer,Really cool gadget for RF engineers Restarts driver when changing orientation. Please fix that. Additionally would like to have MUTE button alongside with other buttons. Another issue is: let user choose whether he/she wants kHz  MHz or GHz when entering freq. Thanks in advance!,March 28 2015,5
com.mantz_it.rfanalyzer,Very useful Works as shown,March 24 2015,5
com.mantz_it.rfanalyzer,Awesome work - thanks for open sourcing! So happy to discover this project. Thank you so much for the first GPL open source Android sdr spectrum explorer I've seen. Very exciting. It's also great that you've made it easy to put a $ in the tip jar via the app store. I'm really jazzed about RF Explorer! Keep up the great work! Other features it would be wonderful to see in future versions (these would be icing on the cake!): - DC offset correction - Audio gain control - (maybe even audio spectrum display?),March 21 2015,5
com.mantz_it.rfanalyzer,Amazing!!! Works like a charm! Nice feature to save recordings into file. Would be even better to transmit from file on HackRF! 73 SQ7MHZ,March 20 2015,5
com.mantz_it.rfanalyzer,Xperia Z Tablet Grabbed the app to play around with RTL SDR. Better signal clarity than SDR# on my laptop. Very happy so far with $15 total investment. Dongle powered up straight from the tablet. Don't have a HackRF to test.,March 11 2015,5
com.mantz_it.rfanalyzer,Awesome. Works well on Amiko A3  OnePlus One/CM11 using RTL-SDR. Bargain price!,March 10 2015,5
com.mantz_it.rfanalyzer,Great little analyzer and demodulator!,February 05 2015,5
com.mantz_it.rfanalyzer,The real deal Outstanding,January 25 2015,5
com.mantz_it.rfanalyzer,Pretty cool Reset the driver/itself when going from landscape to portrait and vice versa,January 24 2015,4
com.mantz_it.rfanalyzer,Works ok  have a bug it seems  switching modes am to fm the sound disappears  if u restart the app  sound is back  until i change modes again. I9505 on kitkat. Other than that its a usefull app.,January 23 2015,4
com.mantz_it.rfanalyzer,Amazing Love the added demos now. Using mine with hackrf. Also tested with RTL. Both work perfectly! Thanks for a great implementation.,January 20 2015,5
com.mantz_it.rfanalyzer,Excellent job This app works great. No head aches   no yelling. I followed the instructions  downloaded the driver. My rtlsdr worked not a single problem. I can't get any rtlsdr to work on my desk tops. Thank you oh great one!,January 19 2015,5
com.mantz_it.rfanalyzer,Works Great App works well with rtl-sdr usb dongle except that it has a much more restricted freq range than a competitors app with the same dongle. Possibly a user error. Ie can not tune below 24Mhz. Get out of range error. Hoping this is user error as the support and upgrade path from this dev appears to be much better than competitors app. UPDATE: After response from Dev. it appears that the app is correct the tuner in my dongle has a24MHz lower limit  The competitors app appears to tune much lower ( doesn't throw error and has signals) but it is not actually tuning lower. After purchase support for this app is superb. Can't wait for future updates. Thank You,January 19 2015,3
com.mantz_it.rfanalyzer,Excellent app Works great on my Note 8.0 and with a powered micro-usb-hub works on my Z3 compact too. Looking forward to scanning and would love to see audio recording added. Thanks :-),January 07 2015,5
com.mantz_it.rfanalyzer,Nexus 10 works well Great app  works well on my Nexus 10.,January 07 2015,5
com.mantz_it.rfanalyzer,Superb on Tesco Hudl 2 Worked first time with RTL dongle and pre-installed driver from Martin Marinov,January 01 2015,5
com.mantz_it.rfanalyzer,Definitely worth $0.99 Only $0.99! Since the developer is quickly listening to user feedback - this app is probably going to be better than SDR Touch very soon! I have two wishes - Material Design  and remove the screen orientation settings to use Android's settings. Update: one of those wishes has already come true! The logo and name of the app is missing from the top right corner  though.,December 10 2014,5
com.mantz_it.rfanalyzer,Awesome app Just what I've been looking for.,December 03 2014,5
com.mantz_it.rfanalyzer,BLU life xl works,November 23 2016,5
com.mantz_it.rfanalyzer,Not working Not working at oppo. Saying source not available for hr,November 23 2016,1
com.mantz_it.rfanalyzer,Perfect! What a brilliant app for the price. Works perfectly on my Oneplus One with RTL-SDR dongle and otg cable.,December 05 2016,5
com.mantz_it.rfanalyzer,Works Motorola g4 plus and rtlsdr,December 09 2016,4
com.mantz_it.rfanalyzer,Unable to set sampling rate on infinix X2 with MT6753 Unable to set sampling rate on the hackrf one on phone with MT6753 processor.,December 13 2016,3
com.mantz_it.rfanalyzer,Crashes with in 10 seconds I cant even use this for more then 15 seconds,December 25 2016,1
com.mantz_it.rfanalyzer,Squelch is non-existent in this app. The developer claims it exists but it is impossible to set up. No matter how I adjust the gain I always hear the RF noise in between the transmissions. This app will make me deaf. The only way to eliminate the noise is to manually move the dB slider up and down which very impractical and annoying. Every free PC SDR software has perfectly working squelch. Why this one doesn't? Could be a great app but luck of squelch makes it unusable. I would expect this to be fixed.,February 12 2017,2
com.mantz_it.rfanalyzer,Works well on Huawei Mediapad ML-802L and RTL,February 12 2017,5
com.mantz_it.rfanalyzer,For â‚¬0.79 this app is 10x less expensive than sdr touch and for that reason I gave it four stars. There are some improvements needed such as setting squelch and bandwidth could be easier  recording audio as well as the entire band  there is a high-pitched tone when using wide band fm  a way that makes it easier to fine tune and stability improvements. This app works pretty well on my device (OnePlus 2) but it does crash every now and then (when changing between portrait and landscape for example). I think this app is great for the price and does pretty much everything I need but I would like to see these improvements.,February 20 2017,4
com.mantz_it.rfanalyzer,I think it would be neat if there were to be a wifi analysis tool built in which would overlay a spectrum analysis with access points and channels.,March 14 2017,5
rs.pedjaapps.alogcatroot.app,A-Z 8apple,August 01 2016,5
rs.pedjaapps.alogcatroot.app,Logcat Its good help,July 30 2016,1
rs.pedjaapps.alogcatroot.app,Great logging app Very helpful finding issues within apps or the OS or even extra mods! Props,March 09 2016,5
rs.pedjaapps.alogcatroot.app,Great app,February 25 2016,4
rs.pedjaapps.alogcatroot.app,Crude compared to catlog,February 21 2016,3
rs.pedjaapps.alogcatroot.app,Best of logcat Not Working on MM. Please fix this. Thanks..,January 20 2016,5
rs.pedjaapps.alogcatroot.app,LOL @Video Crew  this is a LOG VIEWER and is unable to delete any settings from your phone.,December 12 2015,5
rs.pedjaapps.alogcatroot.app,Unresponsive maybe some threads are in order. Logcat is better foss,August 29 2015,2
rs.pedjaapps.alogcatroot.app,This isnt work at all!,June 25 2015,1
rs.pedjaapps.alogcatroot.app,great,April 16 2015,5
rs.pedjaapps.alogcatroot.app,Internet permission Unnecessary internet permission,October 17 2014,1
rs.pedjaapps.alogcatroot.app,Works well and looks pretty good.,October 13 2014,5
rs.pedjaapps.alogcatroot.app,You cant use Android without even debugging it You cant use Android without even debugging it  could you? Helps tracking down bugs.,December 01 2016,5
rs.pedjaapps.alogcatroot.app,Good,November 29 2016,5
rs.pedjaapps.alogcatroot.app,Nothing worked. Blank screen.,December 19 2016,1
rs.pedjaapps.alogcatroot.app,Description about Internet access is a lie. This app connects to the Internet even at its first start  doing many connections to Amazon servers. And also doesn't show any log  not even its own log  without root. Another bad XDA sponsored project.,January 17 2017,1
rs.pedjaapps.alogcatroot.app,It is very helpful,March 29 2017,5
com.iskrembilen.quasseldroid,Crippling power consumption The devs really need to work on the power consumption. This app destroys my battery. Other than that it's really hard to give up quassel when you live and breath IRC.,October 27 2016,4
com.iskrembilen.quasseldroid,Unusable in large rooms No way to filter out joins or parts.,October 23 2016,2
com.iskrembilen.quasseldroid,is there a way to hide channel list when using a tablet?,September 27 2016,3
com.iskrembilen.quasseldroid,"+1 star for finally including auto-reconnect  but -1 for the """"""""""""""""""""""""""""""""dark"""""""""""""""""""""""""""""""" theme being gray instead of black. I much MUCH prefer the """"""""""""""""""""""""""""""""old"""""""""""""""""""""""""""""""" appearance  both with the black background and the brighter fonts. Can we have the old black background and associated fonts back  perhaps in addition to the """"""""""""""""""""""""""""""""gray"""""""""""""""""""""""""""""""" theme that is incorrectly labelled as """"""""""""""""""""""""""""""""dark""""""""""""""""""""""""""""""""? It was pretty easy to read in bright ambient light  unlike the new gray theme.""""",September 24 2016,3
com.iskrembilen.quasseldroid,Material design update very nice,September 21 2016,5
com.iskrembilen.quasseldroid,Faster & nicer The new version compatible with Nougat looks awesome! It's also incredibly much faster on connection (I wish the Ubuntu client connected that quickly!). Really nice job on the update  thanks for updating it to work on Nougat too :),September 20 2016,5
com.iskrembilen.quasseldroid,Great update! Really nice UI  and now is possible to see even hidden channels. I've missed that before. Thanks!,September 20 2016,5
com.iskrembilen.quasseldroid,"Does not work. Does not work on android 7.0  I get a """"""""""""""""""""""""""""""""failed to load certificate"""""""""""""""""""""""""""""""" error.""""",September 13 2016,1
com.iskrembilen.quasseldroid,Great app Excellent mobile companion to the quassel suite. My only beef/request is I wish the dark theme was black and not dark grey as a background. The grey makes it nearly impossible to read some of the colored text.,September 11 2016,5
com.iskrembilen.quasseldroid,This version (0.9.8) is terribly outdated. I did not notice until it stopped working after the Android 7 update. The version on F-Droid (0.11.7) works  has an updated interface and also features automatic reconnection.,August 23 2016,5
com.iskrembilen.quasseldroid,Does what it does This let's me connect to the core and chat  ez pz. Could custom colors be a possibility for this?,July 20 2016,5
com.iskrembilen.quasseldroid,Great Almost perfect App. Sadly uses too much battery  but I think that's because of the Quassel Protocol.,July 06 2016,5
com.iskrembilen.quasseldroid,Updates? Hasn't been updated in a long time (2014) and appears to break in Android N. Unfortunately it appears this is the only quassel client for Android.,May 19 2016,1
com.iskrembilen.quasseldroid,Great client. One request: Make back key open the channel list on first click. Would be more useful than just popping up a message telling me to click again to quit. Could still quit on second click.,May 01 2016,5
com.iskrembilen.quasseldroid,Doesn't handle SSL certificate changes well. Just get stuck in a loop. Clearing data/cache didn't help... Or is it just broken on Android N?,April 19 2016,2
com.iskrembilen.quasseldroid,Best It justworks :-),March 23 2016,5
com.iskrembilen.quasseldroid,Fails to connect,January 01 2016,2
com.iskrembilen.quasseldroid,Awesome Works great and does exactly what I need it to do,November 26 2015,5
com.iskrembilen.quasseldroid,Core<->IRC disconnects can crash app. Overall much better than Windows app! I've also installed the beta APK from F-Droid and can confirm the auto-reconnect works great. Side bonus: material design!,November 23 2015,5
com.iskrembilen.quasseldroid,Outdated Why isn't quasseldroid updated on the play store. F-droid has been shipping the newer versions with the material design for a long time now.,October 23 2015,2
com.iskrembilen.quasseldroid,Works great I've been using it for a year.. Love it,August 14 2015,5
com.iskrembilen.quasseldroid,Doesn't even connect. Just returns invalid username/password,July 02 2015,1
com.iskrembilen.quasseldroid,Does what it says on the tin. I'm migrating my desktop  netbook and phone to Quassel.,May 17 2015,5
com.iskrembilen.quasseldroid,Would be a 5 with autoreconnect.,May 12 2015,4
com.iskrembilen.quasseldroid,Play version outdated The version on F-Droid is newer.,May 08 2015,2
com.iskrembilen.quasseldroid,Only IRC client you need for Android. This is a great IRC client for Andriod. The only thing I think it's lacking is an auto-reconnect option; that would make this a 5 star review.,April 22 2015,4
com.iskrembilen.quasseldroid,Good but needs auto reconnect Having an auto reconnect would be helpful. Switching between network and wifi means manually reconnecting. It's a pain.,April 22 2015,3
com.iskrembilen.quasseldroid,Could handle disconnects better This is a well made application in general  and works great when you have a solid connection. But iffy connections can be very frustrating when the screen goes back to login mid-sentence. Also  highlighting should never use the same color as a username.,April 11 2015,4
com.iskrembilen.quasseldroid,Great  but pretty buggy. Often after the app has been running for a while  channels seem to not be reliable. Especially if I use a client on the computer in between sessions. I was very confused when I opened one channel to find a completely different one. Sometimes  the list of people who are online are off too. I've once found someone logged in under the same nick 4 times (that's a bug). Its because it doesn't seem to always register when someone quits or parts.,March 05 2015,3
com.iskrembilen.quasseldroid,I love being able to resume my conversations from whatever device I happen to have at hand!,January 31 2015,5
com.iskrembilen.quasseldroid,Works great,January 25 2015,5
com.iskrembilen.quasseldroid,Really great app Really nice app  although lacking support for automatically reconnecting after disconnect  that would really improve the app a lot. Other than that I cannot find any fault  would be nice to see that included.,January 06 2015,4
